LL Insert,LL Search,BST Insert,BST Search
0.000182754,0.00014061,2.32E-05,5.30E-06
0.000155703,0.00012947,1.93E-05,6.26E-06
0.000169598,0.000103011,2.05E-05,2.77E-06
0.000178311,0.000118251,2.25E-05,4.59E-06
0.000208518,0.000107126,2.23E-05,4.45E-06
0.000184758,9.19E-05,3.00E-05,2.14E-06
0.000195292,0.000113931,2.17E-05,3.69E-06
0.00020344,7.95E-05,2.35E-05,8.58E-06
0.000178384,0.00010798,2.27E-05,8.61E-06
0.00019289,0.000100812,2.58E-05,4.97E-06
0.000220174,0.000104422,1.66E-05,7.42E-06
0.000201293,0.0001145,3.23E-05,6.28E-06
0.000212223,0.000118262,3.40E-05,6.32E-06
0.000208383,0.000114309,2.43E-05,5.53E-06
0.000206309,0.000111508,2.32E-05,5.22E-06
0.00020358,0.000132786,2.10E-05,5.42E-06
0.00019977,0.000108706,2.76E-05,4.30E-06
0.000221487,0.000131978,2.35E-05,8.58E-06
0.000172216,0.000110864,2.53E-05,8.73E-06
0.00021351,0.000127747,2.56E-05,5.27E-06
